fips,ps_wtotl,do_psdel,state,cluster_model1,color
13109,0.54,0.37,GA,278,red
13177,1.87,1.38,GA,166,red
13269,0.62,0.46,GA,278,red
13027,0.9,0.58,GA,15,red
13001,0.76,0.53,GA,15,red
13003,0.43,0.24,GA,278,red
13005,0.98,0.7,GA,15,red
13007,0.15,0.12,GA,111,red
13009,3.82,1.79,GA,162,red
13011,2.61,0.49,GA,258,red
13013,4.46,4.06,GA,235,red
13015,52.41,6.4,GA,199,red
13017,2.46,1.23,GA,52,red
13019,0.78,0.55,GA,15,red
13021,24.13,14.3,GA,64,red
13023,0.2,0.09,GA,111,red
13025,0.24,0.17,GA,111,red
13031,4.77,3.01,GA,4,red
13033,0.85,0.5,GA,15,red
13035,2.74,1.72,GA,122,red
13037,0.44,0.22,GA,278,red
13043,0.41,0.32,GA,278,red
13045,11.32,6.42,GA,247,red
13047,4.68,4.87,GA,62,red
13053,0.31,0.29,GA,278,red
13055,2.8,1.41,GA,52,red
13057,19.29,14.93,GA,95,red
13059,11.48,6.63,GA,247,red
13321,1.01,0.59,GA,15,red
13065,0.45,0.26,GA,278,red
13067,42.22,34.09,GA,245,purple
13069,4.05,2.0,GA,155,red
13071,3.11,1.51,GA,162,red
13073,15.92,10.43,GA,256,red
